序号,参试材料编号,干旱处理时期,鉴定时间,抗旱指数,抗旱指数评价的抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价的抗旱性,抗旱性综合评价,抗旱系数,产量干旱,产量对照,株高干旱cm,株高对照cm,分枝数干旱,分枝数对照,主花序长干旱cm,主花序长对照cm,主花序有效角果数干旱,主花序有效角果数对照,全株有效角果数干旱,全株有效角果数对照,主茎角果密度个/cm干旱,主茎角果密度个/cm对照,角粒数干旱,角粒数对照,千粒重干旱g,千粒重对照g,主根长处理cm,主根长对照cm,侧根数处理,侧根数对照,植株总鲜重处理g,植株总鲜重对照g,根鲜重处理g,根鲜重对照g,地上部分鲜重处理g,地上部分鲜重对照g,根冠比处理,根冠比对照,备注
308,12XS242-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.03 ,HS,0.23 ,HS,HS,0.28 ,11.10 ,39.00 ,58.00 ,110.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
309,12XS242-3-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.09 ,HS,0.22 ,HS,HS,0.24 ,35.70 ,147.40 ,60.00 ,136.00 ,4.00 ,14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
310,12XS247-1-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.05 ,HS,0.27 ,HS,HS,0.10 ,43.80 ,430.20 ,68.00 ,97.00 ,4.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
311,12XS247-2-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.02 ,HS,0.36 ,S,HS,0.10 ,23.50 ,227.80 ,78.00 ,96.00 ,6.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
312,12XS247-4-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.10 ,HS,0.31 ,S,HS,0.20 ,49.30 ,243.10 ,67.00 ,102.00 ,5.00 ,11.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
313,12XS247-5-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.02 ,HS,0.35 ,S,HS,0.09 ,22.30 ,258.80 ,72.00 ,107.00 ,6.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
314,12XS247-7-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.02 ,HS,0.40 ,MR,S,0.08 ,27.30 ,331.50 ,83.00 ,112.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
315,12XS265-1-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.44 ,MR,S,0.05 ,17.80 ,361.10 ,88.00 ,153.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
316,12XS265-3-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.00 ,HS,0.46 ,MR,S,0.04 ,9.70 ,233.50 ,80.00 ,150.00 ,6.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
317,12XS265-8-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.09 ,HS,0.47 ,MR,S,0.29 ,29.60 ,101.40 ,93.00 ,146.00 ,4.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
318,12XS274-1-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.41 ,MR,S,0.06 ,21.40 ,366.90 ,87.00 ,112.00 ,6.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
319,12XS274-2-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.49 ,S,0.56 ,R,MR,0.40 ,118.80 ,294.00 ,116.00 ,143.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
320,12XS274-4-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.18 ,HS,0.60 ,R,S,0.20 ,84.70 ,418.00 ,116.00 ,136.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
321,12XS274-5-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.00 ,HS,0.45 ,MR,S,0.00 ,,243.70 ,102.00 ,120.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
322,12XS274-6-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.37 ,S,HS,0.05 ,15.40 ,303.20 ,87.00 ,122.00 ,4.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
323,12XS274-7-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.00 ,HS,0.45 ,MR,HS,0.04 ,11.50 ,316.00 ,89.00 ,121.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
324,12XS274-8-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.50 ,MR,HS,0.06 ,14.70 ,238.90 ,92.00 ,117.00 ,7.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
325,花油3号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.30 ,S,HS,0.06 ,23.00 ,397.30 ,71.00 ,120.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
326,花油5号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.10 ,HS,0.25 ,HS,HS,0.16 ,59.80 ,374.10 ,73.00 ,140.00 ,4.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
327,花油6号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.02 ,HS,0.11 ,HS,HS,0.07 ,23.90 ,350.50 ,58.00 ,146.00 ,3.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
328,花油7号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.07 ,HS,HS,0.07 ,17.80 ,247.00 ,57.00 ,168.00 ,2.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
329,花油8号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.00 ,HS,0.14 ,HS,HS,0.01 ,7.50 ,516.00 ,48.00 ,162.00 ,4.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
330,花油9号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.01 ,HS,0.22 ,HS,HS,0.04 ,13.60 ,329.70 ,71.00 ,156.00 ,4.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
331,云油杂2号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.10 ,HS,0.52 ,MR,S,0.16 ,59.80 ,382.70 ,86.00 ,162.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
332,云油杂10号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.04 ,HS,0.18 ,HS,HS,0.11 ,33.50 ,302.40 ,69.00 ,162.00 ,3.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
333,云油双1号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.04 ,HS,0.22 ,HS,HS,0.12 ,34.10 ,273.80 ,66.00 ,132.00 ,4.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
334,云油双2号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.00 ,HS,0.15 ,HS,HS,0.00 ,,151.20 ,58.00 ,118.00 ,3.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
335,早熟1号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.00 ,HS,0.54 ,R,S,0.00 ,,286.60 ,94.00 ,120.00 ,7.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
336,云花油23号,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.29 ,HS,0.38 ,S,HS,0.37 ,78.10 ,213.00 ,82.00 ,138.00 ,4.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
337,094581-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.41 ,S,0.62 ,R,MR,0.43 ,93.50 ,217.70 ,100.00 ,112.00 ,6.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
338,094560-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,11.01 ,HR,0.60 ,R,HR,5.30 ,201.80 ,38.10 ,100.00 ,92.00 ,3.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
339,094564-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,12.99 ,HR,0.84 ,HR,HR,4.31 ,292.70 ,67.90 ,102.00 ,114.00 ,7.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
340,12XS242-5-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,1.86 ,HR,0.63 ,R,HR,1.01 ,180.00 ,179.00 ,90.00 ,108.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
341,12XS247-6,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,1.85 ,HR,0.73 ,HR,HR,0.72 ,248.40 ,342.70 ,121.00 ,136.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
342,12XS247-3-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,2.43 ,HR,0.66 ,HR,HR,1.49 ,157.80 ,105.60 ,108.00 ,124.00 ,4.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
343,12XS242-4-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.02 ,HS,0.35 ,S,HS,0.09 ,25.60 ,296.50 ,98.00 ,124.00 ,1.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
344,12XS247-6-2,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,1.15 ,R,0.53 ,MR,MR,0.73 ,152.60 ,209.00 ,102.00 ,152.00 ,4.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
345,12XS247-8-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.32 ,S,0.50 ,MR,S,0.31 ,101.20 ,330.70 ,101.00 ,126.00 ,4.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
346,12XS256-6-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,1.34 ,HR,0.79 ,HR,HR,0.51 ,255.20 ,500.00 ,108.00 ,156.00 ,4.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
347,12XS256-7-3,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.79 ,MR,0.63 ,R,MR,0.47 ,165.00 ,354.00 ,90.00 ,160.00 ,7.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
348,12XS256-1-1,苗期降雨量42.7mm 大田鉴定，苗期不灌溉,2012.9-2013.4,0.66 ,MR,0.75 ,HR,R,0.40 ,159.10 ,396.50 ,110.00 ,163.00 ,8.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
